date,DEU_commodities_f1__DEU_commodities_f2
2009-05-11,0.8488332132940685
2009-05-12,0.8497459948705558
2009-05-13,0.8504740796445989
2009-05-14,0.8510518729036189
2009-05-15,0.8515086069733895
2009-05-18,0.8518685628517005
2009-05-19,0.8521515907398054
2009-05-20,0.8523737332667547
2009-05-21,0.8525478465796247
2009-05-22,0.8526841682996784
2009-05-25,0.8527908120086856
2009-05-26,0.852874184596129
2009-05-27,0.8529393312022517
2009-05-28,0.8529902161597401
2009-05-29,0.8530299493959735
2009-06-01,0.8530609674657779
2009-06-02,0.831016270459253
2009-06-03,0.8353965312703088
2009-06-04,0.8386275261967778
2009-06-05,0.8410428980823016
2009-06-08,0.8428666494675707
2009-06-09,0.8442540884567291
2009-06-10,0.8453156473406012
2009-06-11,0.8461314243243426
2009-06-12,0.8467604316058422
2009-06-15,0.8472466849548764
2009-06-16,0.8476233341851214
2009-06-17,0.8479155362930889
2009-06-18,0.8481424969819182
2009-06-19,0.848318947347201
2009-06-22,0.8484562278975039
2009-06-23,0.8485630940417993
2009-06-24,0.8486463205594645
2009-06-25,0.8487111588595739
2009-06-26,0.848761685108347
2009-06-29,0.8488010666328013
2009-06-30,0.8488317666177179
2009-07-01,0.8333986181324122
2009-07-02,0.8362635043697856
2009-07-03,0.8384884962814821
2009-07-06,0.8402175441533987
2009-07-07,0.8415620263817813
2009-07-08,0.8426080715843294
2009-07-09,0.8434223246717516
2009-07-10,0.8440564085008285
2009-07-13,0.8445503548306156
2009-07-14,0.8449352394193743
2009-07-15,0.8452352077324128
2009-07-16,0.8454690349219156
2009-07-17,0.8456513295106581
2009-07-20,0.8457934638982578
2009-07-21,0.8459042948861771
2009-07-22,0.8459907223990673
2009-07-23,0.8460581232491198
2009-07-24,0.8461106882146165
2009-07-27,0.8461516841878561
2009-07-28,0.8461836581761653
2009-07-29,0.8462085961322667
2009-07-30,0.8462280466643923
2009-07-31,0.8462432174217177
2009-08-03,0.8733154824335376
2009-08-04,0.8689465596596297
2009-08-05,0.8653368749595077
2009-08-06,0.8624192156056255
2009-08-07,0.8601012139288782
2009-08-10,0.8582829445035847
2009-08-11,0.8568690978288502
2009-08-12,0.8557756847279889
2009-08-13,0.8549325106413288
2009-08-14,0.8542829759511896
2009-08-17,0.8537825146365904
2009-08-18,0.8533965582377514
2009-08-19,0.8530985249101624
2009-08-20,0.8528680609847916
2009-08-21,0.8526896017470255
2009-08-24,0.8525512378633884
2009-08-25,0.8524438421249202
2009-08-26,0.8523604047154728
2009-08-27,0.852295529912334
2009-08-28,0.8522450554593424
2009-08-31,0.8522057643214334
2009-09-01,0.7545216407676426
2009-09-02,0.7702996839610968
2009-09-03,0.7843716843267329
2009-09-04,0.7965720834745648
2009-09-07,0.8069195417856931
2009-09-08,0.8155440643924183
2009-09-09,0.8226336775458072
2009-09-10,0.8283976181810152
2009-09-11,0.8330428299455085
2009-09-14,0.8367604667955262
2009-09-15,0.8397193936036629
2009-09-16,0.8420642219261928
2009-09-17,0.8439160410538641
2009-09-18,0.8453745699262153
2009-09-21,0.8465209065753307
2009-09-22,0.8474203804935527
2009-09-23,0.8481252366613857
2009-09-24,0.8486770227395825
2009-09-25,0.8491086367990833
2009-09-28,0.8494460410034701
2009-09-29,0.8497096708152064
2009-09-30,0.8499155791208319
2009-10-01,0.7796383458762954
2009-10-02,0.7905750556325584
2009-10-05,0.8007596119036872
2009-10-06,0.8098531539211193
2009-10-07,0.8177283162426885
2009-10-08,0.8243929375742326
2009-10-09,0.8299338262394036
2009-10-12,0.8344772002931519
2009-10-13,0.8381625439957402
2009-10-14,0.8411266368593174
2009-10-15,0.8434948108515362
2009-10-16,0.8453770153994375
2009-10-19,0.8468668621040595
2009-10-20,0.8480423635698184
2009-10-21,0.848967517893092
2009-10-22,0.8496942126630935
2009-10-23,0.8502641444028702
2009-10-26,0.8507105939316052
2009-10-27,0.8510599873150442
2009-10-28,0.8513332239781252
2009-10-29,0.851546781555618
2009-10-30,0.8517136204077218
2009-11-02,0.8518439155257617
2009-11-03,0.8257984516283098
2009-11-04,0.8265584441480768
2009-11-05,0.8273838457107497
2009-11-06,0.8281681451305513
2009-11-09,0.8288650234823698
2009-11-10,0.82946026556726
2009-11-11,0.8299559599178693
2009-11-12,0.83036169903897
2009-11-13,0.8306897924516965
2009-11-16,0.8309527729771623
2009-11-17,0.8311621980482254
2009-11-18,0.8313281661306459
2009-11-19,0.8314592132794087
2009-11-20,0.8315623987315564
2009-11-23,0.831643472759978
2009-11-24,0.8317070690891554
2009-11-25,0.8317568923905598
2009-11-26,0.8317958872930702
2009-11-27,0.8318263840631871
2009-11-30,0.831850220664739
2009-12-01,0.6253394740708759
2009-12-02,0.3154714954436652
2009-12-03,0.06928035477560562
2009-12-04,-0.1255770907664367
2009-12-07,-0.27933342351399776
2009-12-08,-0.40036171924877156
2009-12-09,-0.4954432479059161
2009-12-10,-0.5700256590007333
2009-12-11,-0.6284573684068341
2009-12-14,-0.6741919767224335
2009-12-15,-0.7099616205945134
2009-12-16,-0.7379210275214657
2009-12-17,-0.759765444937036
2009-12-18,-0.7768261030961106
2009-12-21,-0.7901468367373224
2009-12-22,-0.800545185970458
2009-12-23,-0.8086608781117133
2009-12-24,-0.8149941492643225
2009-12-25,-0.8199359452139652
2009-12-28,-0.8237916678960228
2009-12-29,-0.8267998136307205
2009-12-30,-0.8291465817686503
2009-12-31,-0.8309773126417694
2010-01-01,0.5094187862337005
2010-01-04,0.517454221255682
2010-01-05,0.5290918636925828
2010-01-06,0.5442983097098797
2010-01-07,0.5628177506071765
2010-01-08,0.5841772162083022
2010-01-11,0.6077135246003991
2010-01-12,0.6326233878785703
2010-01-13,0.6580339873309213
2010-01-14,0.6830853925445476
2010-01-15,0.7070110684568027
2010-01-18,0.729201450451185
2010-01-19,0.749239570635051
2010-01-20,0.7669055080084765
2010-01-21,0.7821545044920543
2010-01-22,0.7950786855690684
2010-01-25,0.8058632461293472
2010-01-26,0.8147456494701644
2010-01-27,0.8219827446208597
2010-01-28,0.8278273612451513
2010-01-29,0.8325136892562761
2010-02-01,0.8362496576971357
2010-02-02,0.7811494713152718
2010-02-03,0.7958983411894526
2010-02-04,0.807418922657257
2010-02-05,0.8164173497646278
2010-02-08,0.8234447525082634
2010-02-09,0.8289318936090875
2010-02-10,0.8332156152055514
2010-02-11,0.8365593147750361
2010-02-12,0.8391689123388474
2010-02-15,0.8412053434765463
2010-02-16,0.8427943464802896
2010-02-17,0.844034131213148
2010-02-18,0.845001386249986
2010-02-19,0.8457559819046703
2010-02-22,0.8463446501492461
2010-02-23,0.8468038624254375
2010-02-24,0.8471620790943815
2010-02-25,0.8474415070003346
2010-02-26,0.8476594722379602
2010-03-01,0.8478294920690773
2010-03-02,0.7775456720297058
2010-03-03,0.7003164389082877
2010-03-04,0.6351261826061643
2010-03-05,0.5802346074757255
2010-03-08,0.5342030003986958
2010-03-09,0.4958077381142538
2010-03-10,0.4639833469621739
2010-03-11,0.43778646163924173
2010-03-12,0.416374726906092
2010-03-15,0.3989958333680841
2010-03-16,0.38498248524765927
2010-03-17,0.37374979480698567
2010-03-18,0.3647925960198609
2010-03-19,0.3576813269802487
2010-03-22,0.3520561585656137
2010-03-23,0.3476197315098017
2010-03-24,0.34412916182364833
2010-03-25,0.34138797769602325
2010-03-26,0.3392384976360299
2010-03-29,0.3375549640584826
2010-03-30,0.3362375748204077
2010-03-31,0.33520743173065437
2010-04-01,-0.6234893986076071
2010-04-02,-0.6522310268908336
2010-04-05,-0.680415967945058
2010-04-06,-0.7072883930653929
2010-04-07,-0.732224407152787
2010-04-08,-0.7547817160058639
2010-04-09,-0.7747162227907525
2010-04-12,-0.7919681468589959
2010-04-13,-0.8066271083564794
2010-04-14,-0.8188879137905835
2010-04-15,-0.8290070891143491
2010-04-16,-0.8372665079986344
2010-04-19,-0.8439466879888601
2010-04-20,-0.8493095797919108
2010-04-21,-0.8535891990920993
2010-04-22,-0.8569879854273444
2010-04-23,-0.859676913748156
2010-04-26,-0.8617977887285276
2010-04-27,-0.8634666026529427
2010-04-28,-0.8647772283572386
2010-04-29,-0.8658050149550274
2010-04-30,-0.8666100591152357
2010-05-03,-0.8825142532913708
2010-05-04,-0.8799077253640668
2010-05-05,-0.8779131619464408
2010-05-06,-0.8764044164473708
2010-05-07,-0.8752711428263977
2010-05-10,-0.8744226078957751
2010-05-11,-0.8737873813760906
2010-05-12,-0.8733108936335706
2010-05-13,-0.8729522687698769
2010-05-14,-0.8726812423141953
2010-05-17,-0.8724755277208893
2010-05-18,-0.872318726654405
2010-05-19,-0.872198743980876
2010-05-20,-0.8721066182698881
2010-05-21,-0.8720356723447636
2010-05-24,-0.8719809008064747
2010-05-25,-0.871938529010316
2010-05-26,-0.8719056945877258
2010-05-27,-0.87188021616231
2010-05-28,-0.871860424165121
2010-05-31,-0.8718450360857821
2010-06-01,-0.7531023783956747
2010-06-02,-0.7748204184008824
2010-06-03,-0.7932055871795953
2010-06-04,-0.8085212495345339
2010-06-07,-0.821113953177132
2010-06-08,-0.8313581267042437
