date,FRA_systemic_stress_f1__FRA_systemic_stress_f2
2021-02-03,-0.86699932528598
2021-02-04,-0.8669688534488472
2021-02-05,-0.8669457138203192
2021-02-08,-0.8669280482065598
2021-02-09,-0.8669145026914501
2021-02-10,-0.8669040795734665
2021-02-11,-0.8668960362745161
2021-02-12,-0.8668898153210902
2021-02-15,-0.8668849951378199
2021-02-16,-0.8668812549734272
2021-02-17,-0.8668783495628563
2021-02-18,-0.8668760905964102
2021-02-19,-0.866874333017436
2021-02-22,-0.8668729647927476
2021-02-23,-0.8668718992127462
2021-02-24,-0.8668710690555723
2021-02-25,-0.8668704221386976
2021-02-26,-0.8668699179122126
2021-03-01,-0.8668695248399706
2021-03-02,-0.8672648542148297
2021-03-03,-0.8671605674507737
2021-03-04,-0.867085848734268
2021-03-05,-0.8670316403264176
2021-03-08,-0.866991855336314
2021-03-09,-0.8669623521925733
2021-03-10,-0.8669402746873206
2021-03-11,-0.866923625260988
2021-03-12,-0.8669109871755232
2021-03-15,-0.8669013419792874
2021-03-16,-0.8668939482577402
2021-03-17,-0.866888260076687
2021-03-18,-0.8668838713664387
2021-03-19,-0.8668804774452704
2021-03-22,-0.8668778480091592
2021-03-23,-0.8668758078984207
2021-03-24,-0.8668742232159723
2021-03-25,-0.8668729911830999
2021-03-26,-0.8668720326437428
2021-03-29,-0.8668712864718426
2021-03-30,-0.8668707053638307
2021-03-31,-0.8668702526510147
2021-04-01,-0.8699624521624189
2021-04-02,-0.8692979506609926
2021-04-05,-0.8687734839054053
2021-04-06,-0.8683605976951919
2021-04-07,-0.8680362055513237
2021-04-08,-0.8677817421922228
2021-04-09,-0.8675823798562845
2021-04-12,-0.8674263382636588
2021-04-13,-0.8673042964811934
2021-04-14,-0.8672089028477202
2021-04-15,-0.8671343731860751
2021-04-16,-0.8670761653003285
2021-04-19,-0.8670307176082611
2021-04-20,-0.8669952406745659
2021-04-21,-0.8669675517831112
2021-04-22,-0.8669459441735253
2021-04-23,-0.8669290839876806
2021-04-26,-0.8669159292415448
2021-04-27,-0.866905666228684
2021-04-28,-0.8668976596743531
2021-04-29,-0.8668914137090004
2021-04-30,-0.8668865413382281
2021-05-03,-0.867409503763765
2021-05-04,-0.8672900535745325
2021-05-05,-0.8671971293097211
2021-05-06,-0.8671248001421689
2021-05-07,-0.8670684764614601
2021-05-10,-0.8670246009717453
2021-05-11,-0.8669904129309345
2021-05-12,-0.8669637675418639
2021-05-13,-0.8669429971295153
2021-05-14,-0.8669268041335954
2021-05-17,-0.8669141784304503
2021-05-18,-0.8669043333293274
2021-05-19,-0.8668966559474713
2021-05-20,-0.8668906686853615
2021-05-21,-0.8668859992891828
2021-05-24,-0.8668823575678695
2021-05-25,-0.8668795172741142
2021-05-26,-0.8668773019970081
2021-05-27,-0.8668755741738184
2021-05-28,-0.8668742265286371
2021-05-31,-0.8668731754002906
2021-06-01,-0.8668710566887498
2021-06-02,-0.8668482221666363
2021-06-03,-0.8668391292269906
2021-06-04,-0.8668373778411383
2021-06-07,-0.8668392790819182
2021-06-08,-0.8668427584423539
2021-06-09,-0.8668466910489023
2021-06-10,-0.8668505019028492
2021-06-11,-0.866853927601651
2021-06-14,-0.8668568758390934
2021-06-15,-0.8668593437116154
2021-06-16,-0.8668613711144063
2021-06-17,-0.8668630148742127
2021-06-18,-0.86686433498475
2021-06-21,-0.866865387787271
2021-06-22,-0.866866223042113
2021-06-23,-0.8668668831026569
2021-06-24,-0.8668674031598785
2021-06-25,-0.8668678119747137
2021-06-28,-0.8668681327792113
2021-06-29,-0.8668683841803352
2021-06-30,-0.8668685809872463
2021-07-01,-0.868439628849171
2021-07-02,-0.8680936878336171
2021-07-05,-0.8678240467720622
2021-07-06,-0.86761385972061
2021-07-07,-0.8674500022918907
2021-07-08,-0.8673222509992826
2021-07-09,-0.8672226417563332
