date,ITA_systemic_stress_f1__ITA_systemic_stress_f2
2002-09-27,0.8602314063819052
2002-09-30,0.8602661534008705
2002-10-01,0.8632003377794948
2002-10-02,0.8624977746692577
2002-10-03,0.8619800523541522
2002-10-04,0.8615960193684375
2002-10-07,0.8613092071426603
2002-10-08,0.8610935867019597
2002-10-09,0.8609304975197525
2002-10-10,0.8608064713197559
2002-10-11,0.8607117083639917
2002-10-14,0.8606390160651475
2002-10-15,0.8605830695271024
2002-10-16,0.8605398941948982
2002-10-17,0.8605065012948632
2002-10-18,0.8604806285817513
2002-10-21,0.8604605540769056
2002-10-22,0.8604449608231578
2002-10-23,0.8604328376620244
2002-10-24,0.8604234057309492
2002-10-25,0.8604160635356005
2002-10-28,0.8604103455869178
2002-10-29,0.860405891047349
2002-10-30,0.8604024198322142
2002-10-31,0.8603997143097712
2002-11-01,0.864945263337512
2002-11-04,0.86384197391607
2002-11-05,0.863015449267311
2002-11-06,0.8623942140023608
2002-11-07,0.8619253529717434
2002-11-08,0.8615699286464529
2002-11-11,0.8612993262760545
2002-11-12,0.8610924732649432
2002-11-13,0.8609337840642717
2002-11-14,0.8608116667719019
2002-11-15,0.8607174469075439
2002-11-18,0.8606445934492087
2002-11-19,0.8605881609405426
2002-11-20,0.8605443852064436
2002-11-21,0.8605103882920991
2002-11-22,0.8604839613927031
2002-11-25,0.8604634038556884
2002-11-26,0.8604474028377601
2002-11-27,0.8604349427071712
2002-11-28,0.8604252364075624
2002-11-29,0.8604176731763937
2002-12-02,0.8604117785379959
2002-12-03,0.8212381602966059
2002-12-04,0.8307375110619769
2002-12-05,0.8377706508732229
2002-12-06,0.843043307223382
2002-12-09,0.8470331458170017
2002-12-10,0.8500735381339601
2002-12-11,0.8524028077543818
2002-12-12,0.8541945684549198
2002-12-13,0.8555771779524436
2002-12-16,0.8566466429727134
2002-12-17,0.8574754302858654
2002-12-18,0.8581186308573682
2002-12-19,0.8586183614301731
2002-12-20,0.8590069615892238
2002-12-23,0.8593093488703987
2002-12-24,0.8595447737644025
2002-12-25,0.8597281398300474
2002-12-26,0.8598710042059619
2002-12-27,0.8599823404959518
2002-12-30,0.8600691232755577
2002-12-31,0.8601367776445621
2003-01-01,0.821560868673759
2003-01-02,0.8303635187655273
2003-01-03,0.837118683392951
2003-01-06,0.8423202954796498
2003-01-07,0.8463366810576984
2003-01-08,0.8494446981380622
2003-01-09,0.8518539447508495
2003-01-10,0.8537240586797521
2003-01-13,0.8551772281483845
2003-01-14,0.8563073502724005
2003-01-15,0.8571868111773735
2003-01-16,0.8578715547826653
2003-01-17,0.8584049036920562
2003-01-20,0.8588204592245493
2003-01-21,0.8591443148724178
2003-01-22,0.8593967533861753
2003-01-23,0.8595935526735696
2003-01-24,0.8597469935875528
2003-01-27,0.859866639438045
2003-01-28,0.8599599400259075
2003-01-29,0.8600327003684771
2003-01-30,0.8600894448342752
2003-01-31,0.8601337002737854
2003-02-03,0.19008393103579777
2003-02-04,0.014621166317927387
2003-02-05,-0.13712284623276225
2003-02-06,-0.26728937199141484
2003-02-07,-0.37785094317123913
2003-02-10,-0.4707691377085972
2003-02-11,-0.5480363774962685
2003-02-12,-0.6116475399213626
2003-02-13,-0.6635407512939753
2003-02-14,-0.7055359303443283
2003-02-17,-0.739287375304796
2003-02-18,-0.7662562796579959
2003-02-19,-0.7877022102435998
2003-02-20,-0.8046892416032753
2003-02-21,-0.8181016340273076
2003-02-24,-0.8286645403240883
