,omega,alpha,beta,alpha_beta_sum,converged,loglikelihood,nu
ESP_macro_f2,0.00011911230718202744,0.9999999997560068,5.162562331271398e-11,0.9999999998076324,True,-7801.298277536035,278.58440418028215
ESP_real_estate_f1,0.0033059251419447415,0.9997100453294813,0.0,0.9997100453294813,True,-9796.62043399769,169.20769580166774
ESP_real_estate_f2,0.0009982700795641486,0.999882356630589,0.00013409487090249145,1.0000164515014915,False,-5544.122814338869,84.08157656178207
ESP_public_finance_f1,0.0009243118210006175,0.9999999604798155,5.93027669843397e-08,1.0000000197825825,True,-11100.706391519037,336.66802227498243
ESP_public_finance_f2,0.0035971191750586136,0.9999999999998155,1.8972268315443945e-13,1.000000000000005,True,-8239.72542978057,69.86996716411687
ESP_external_fx_f1,0.0012950677551853396,1.0,0.0,1.0,True,-11558.747409531268,310.4391550267074
ESP_external_fx_f2,0.0012855954499185513,0.9999999995266219,5.1780684077100544e-11,0.9999999995784026,True,-7523.332305259133,59.88567080096042
ESP_financial_markets_f1,2.610886656114527e-05,1.0,0.0,1.0,True,-7183.696165433817,13.50159049958797
ESP_financial_markets_f2,0.0025723636142524204,0.9999999991598412,1.0725503699555818e-09,1.0000000002323914,True,-5180.2836827892625,194.450576581297
ESP_banking_system_f1,0.0004315363675207139,0.999999999969993,3.294523502694386e-11,1.0000000000029383,True,-9634.8549843222,225.00515489184716
ESP_banking_system_f2,7.751300040133977e-09,1.0,0.0002973850501802877,1.0002973850501804,False,-4579.720625178736,80.553955078125
ESP_systemic_stress_f1,0.00030312248677437104,1.0,0.0,1.0,True,-8148.7336601390825,254.04299057053123
ESP_systemic_stress_f2,7.897376151299135e-06,0.9999987451808623,3.338809676594369e-07,0.9999990790618299,True,-4193.123312305676,47.721210628221925
ESP_commodities_f1,0.006652517138749001,0.9999999999999833,1.9380281515445018e-14,1.0000000000000027,True,-12979.061011026597,245.68950340385803
ESP_commodities_f2,0.003003454806859286,0.9999999983640255,1.4590262999520832e-09,0.9999999998230519,True,-7007.867144767826,220.7371148107228
