date,DEU_real_estate_f1,DEU_real_estate_f2
2006-06-26,-0.9984848414355608,1.0063568450016158
2006-06-27,-0.9984848414355608,1.0063568450016158
2006-06-28,-0.9984848414355608,1.0063568450016158
2006-06-29,-0.9984848414355608,1.0063568450016158
2006-06-30,-0.9647571338187719,1.1086805426638615
2006-07-03,-0.9976699530658736,1.0068860465131655
2006-07-04,-0.998423240235976,1.006859765621912
2006-07-05,-0.9984396330074513,1.0068597577913723
2006-07-06,-0.9984399893377213,1.006859757789039
2006-07-07,-0.9984399970830947,1.0068597577890381
2006-07-10,-0.9984399972514519,1.0068597577890381
2006-07-11,-0.9984399972551113,1.0068597577890381
2006-07-12,-0.998439997255191,1.0068597577890381
2006-07-13,-0.9984399972551926,1.0068597577890381
2006-07-14,-0.9984399972551926,1.0068597577890381
2006-07-17,-0.9984399972551926,1.0068597577890381
2006-07-18,-0.9984399972551926,1.0068597577890381
2006-07-19,-0.9984399972551926,1.0068597577890381
2006-07-20,-0.9984399972551926,1.0068597577890381
2006-07-21,-0.9984399972551926,1.0068597577890381
2006-07-24,-0.9984399972551926,1.0068597577890381
2006-07-25,-0.9984399972551926,1.0068597577890381
2006-07-26,-0.9984399972551926,1.0068597577890381
2006-07-27,-0.9984399972551926,1.0068597577890381
2006-07-28,-0.9984399972551926,1.0068597577890381
2006-07-31,-0.9560456446303768,1.016171797735971
2006-08-01,-0.9973980521480142,1.0069054523574583
2006-08-02,-0.998357449769755,1.0069027289524595
2006-08-03,-0.9983783344600887,1.006902728140977
2006-08-04,-0.9983787884344936,1.0069027281407352
2006-08-07,-0.9983787983023104,1.0069027281407352
2006-08-08,-0.9983787985168021,1.0069027281407352
2006-08-09,-0.9983787985214644,1.0069027281407352
2006-08-10,-0.9983787985215659,1.0069027281407352
2006-08-11,-0.9983787985215681,1.0069027281407352
2006-08-14,-0.9983787985215681,1.0069027281407352
2006-08-15,-0.9983787985215681,1.0069027281407352
2006-08-16,-0.9983787985215681,1.0069027281407352
2006-08-17,-0.9983787985215681,1.0069027281407352
2006-08-18,-0.9983787985215681,1.0069027281407352
2006-08-21,-0.9983787985215681,1.0069027281407352
2006-08-22,-0.9983787985215681,1.0069027281407352
2006-08-23,-0.9983787985215681,1.0069027281407352
2006-08-24,-0.9983787985215681,1.0069027281407352
2006-08-25,-0.9983787985215681,1.0069027281407352
2006-08-28,-0.9983787985215681,1.0069027281407352
2006-08-29,-0.9983787985215681,1.0069027281407352
2006-08-30,-0.9983787985215681,1.0069027281407352
2006-08-31,-0.9719997380915562,1.01414108703032
2006-09-01,-0.9977428434278003,1.0069377471359822
2006-09-04,-0.9983253439720455,1.0069356235968023
2006-09-05,-0.9983380168204617,1.006935622964059
2006-09-06,-0.9983382922890565,1.0069356229638704
2006-09-07,-0.9983382982767791,1.0069356229638702
2006-09-08,-0.9983382984069312,1.0069356229638702
2006-09-11,-0.9983382984097603,1.0069356229638702
2006-09-12,-0.9983382984098218,1.0069356229638702
2006-09-13,-0.998338298409823,1.0069356229638702
2006-09-14,-0.9983382984098232,1.0069356229638702
2006-09-15,-0.9983382984098232,1.0069356229638702
2006-09-18,-0.9983382984098232,1.0069356229638702
2006-09-19,-0.9983382984098232,1.0069356229638702
2006-09-20,-0.9983382984098232,1.0069356229638702
2006-09-21,-0.9983382984098232,1.0069356229638702
2006-09-22,-0.9983382984098232,1.0069356229638702
2006-09-25,-0.9983382984098232,1.0069356229638702
2006-09-26,-0.9983382984098232,1.0069356229638702
2006-09-27,-0.9983382984098232,1.0069356229638702
2006-09-28,-0.9983382984098232,1.0069356229638702
2006-09-29,-0.9983382984098232,1.0069356229638702
2006-10-02,-1.0665304143825578,0.7405802141041666
2006-10-03,-0.9997785843502724,1.0048803482209843
2006-10-04,-0.9984636086890503,1.0050062981238996
2006-10-05,-0.9984350833235655,1.0050063356599115
2006-10-06,-0.9984344633094089,1.0050063356710959
2006-10-09,-0.9984344498324906,1.0050063356710992
2006-10-10,-0.9984344495395496,1.0050063356710992
2006-10-11,-0.9984344495331822,1.0050063356710992
2006-10-12,-0.9984344495330438,1.0050063356710992
2006-10-13,-0.9984344495330408,1.0050063356710992
2006-10-16,-0.9984344495330406,1.0050063356710992
2006-10-17,-0.9984344495330406,1.0050063356710992
2006-10-18,-0.9984344495330406,1.0050063356710992
2006-10-19,-0.9984344495330406,1.0050063356710992
2006-10-20,-0.9984344495330406,1.0050063356710992
2006-10-23,-0.9984344495330406,1.0050063356710992
2006-10-24,-0.9984344495330406,1.0050063356710992
2006-10-25,-0.9984344495330406,1.0050063356710992
2006-10-26,-0.9984344495330406,1.0050063356710992
2006-10-27,-0.9984344495330406,1.0050063356710992
2006-10-30,-0.9984344495330406,1.0050063356710992
2006-10-31,-1.1082597329658928,1.0155034799314562
2006-11-01,-1.0006110711218459,1.0050955875695877
2006-11-02,-0.9986070882426465,1.0050925338853969
2006-11-03,-0.998563662294392,1.005092532975503
2006-11-06,-0.9985627184296367,1.0050925329752318
2006-11-07,-0.9985626979133602,1.0050925329752318
2006-11-08,-0.9985626974674083,1.0050925329752318
2006-11-09,-0.9985626974577149,1.0050925329752318
2006-11-10,-0.9985626974575041,1.0050925329752318
2006-11-13,-0.9985626974574996,1.0050925329752318
2006-11-14,-0.9985626974574996,1.0050925329752318
2006-11-15,-0.9985626974574996,1.0050925329752318
2006-11-16,-0.9985626974574996,1.0050925329752318
2006-11-17,-0.9985626974574996,1.0050925329752318
2006-11-20,-0.9985626974574996,1.0050925329752318
2006-11-21,-0.9985626974574996,1.0050925329752318
2006-11-22,-0.9985626974574996,1.0050925329752318
2006-11-23,-0.9985626974574996,1.0050925329752318
2006-11-24,-0.9985626974574996,1.0050925329752318
2006-11-27,-0.9985626974574996,1.0050925329752318
2006-11-28,-0.9985626974574996,1.0050925329752318
2006-11-29,-0.9985626974574996,1.0050925329752318
2006-11-30,-0.9939910876046578,1.0070213903982028
2006-12-01,-0.9984576719789396,1.0051088137339355
2006-12-04,-0.9985554295872454,1.0051082454715896
2006-12-05,-0.9985575548133294,1.0051082453022662
2006-12-06,-0.9985576010084345,1.0051082453022158
2006-12-07,-0.9985576020125538,1.0051082453022155
2006-12-08,-0.9985576020343798,1.0051082453022155
2006-12-11,-0.9985576020348543,1.0051082453022155
2006-12-12,-0.9985576020348648,1.0051082453022155
2006-12-13,-0.9985576020348649,1.0051082453022155
2006-12-14,-0.9985576020348649,1.0051082453022155
2006-12-15,-0.9985576020348649,1.0051082453022155
2006-12-18,-0.9985576020348649,1.0051082453022155
2006-12-19,-0.9985576020348649,1.0051082453022155
2006-12-20,-0.9985576020348649,1.0051082453022155
2006-12-21,-0.9985576020348649,1.0051082453022155
2006-12-22,-0.9985576020348649,1.0051082453022155
2006-12-25,-0.9985576020348649,1.0051082453022155
2006-12-26,-0.9985576020348649,1.0051082453022155
2006-12-27,-0.9985576020348649,1.0051082453022155
2006-12-28,-0.9985576020348649,1.0051082453022155
2006-12-29,-0.9985576020348649,1.0051082453022155
2007-01-01,-0.982893624365613,1.4260319983731429
2007-01-02,-0.9981916113046947,1.0072478919667966
2007-01-03,-0.9985321134954406,1.0071727036991764
2007-01-04,-0.9985395186876123,1.0071726812980397
2007-01-05,-0.9985396796523232,1.007172681291365
2007-01-08,-0.9985396831511318,1.007172681291363
2007-01-09,-0.9985396832271836,1.007172681291363
2007-01-10,-0.9985396832288367,1.007172681291363
2007-01-11,-0.9985396832288727,1.007172681291363
2007-01-12,-0.9985396832288734,1.007172681291363
2007-01-15,-0.9985396832288734,1.007172681291363
2007-01-16,-0.9985396832288734,1.007172681291363
2007-01-17,-0.9985396832288734,1.007172681291363
2007-01-18,-0.9985396832288734,1.007172681291363
2007-01-19,-0.9985396832288734,1.007172681291363
2007-01-22,-0.9985396832288734,1.007172681291363
2007-01-23,-0.9985396832288734,1.007172681291363
2007-01-24,-0.9985396832288734,1.007172681291363
2007-01-25,-0.9985396832288734,1.007172681291363
2007-01-26,-0.9985396832288734,1.007172681291363
2007-01-29,-0.9985396832288734,1.007172681291363
2007-01-30,-0.9985396832288734,1.007172681291363
2007-01-31,-0.8658949894745455,1.0055626512470948
2007-02-01,-0.9947955273869719,1.0071656507445486
2007-02-02,-0.9982721994003113,1.0071661295290808
2007-02-05,-0.9983481753422269,1.0071661296717431
2007-02-06,-0.9983498269851195,1.0071661296717858
2007-02-07,-0.9983498628861288,1.0071661296717858
2007-02-08,-0.9983498636664907,1.0071661296717858
2007-02-09,-0.998349863683453,1.0071661296717858
2007-02-12,-0.9983498636838217,1.0071661296717858
2007-02-13,-0.9983498636838298,1.0071661296717858
2007-02-14,-0.99834986368383,1.0071661296717858
2007-02-15,-0.99834986368383,1.0071661296717858
2007-02-16,-0.99834986368383,1.0071661296717858
2007-02-19,-0.99834986368383,1.0071661296717858
2007-02-20,-0.99834986368383,1.0071661296717858
2007-02-21,-0.99834986368383,1.0071661296717858
2007-02-22,-0.99834986368383,1.0071661296717858
2007-02-23,-0.99834986368383,1.0071661296717858
2007-02-26,-0.99834986368383,1.0071661296717858
2007-02-27,-0.99834986368383,1.0071661296717858
2007-02-28,-0.9445683175468903,1.020797375352285
2007-03-01,-0.996994213659752,1.0072245053886717
2007-03-02,-0.9982326999124744,1.0072205414440363
2007-03-05,-0.9982596715311596,1.0072205402629173
2007-03-06,-0.9982602578237414,1.0072205402625654
2007-03-07,-0.9982602705676954,1.0072205402625654
2007-03-08,-0.9982602708447044,1.0072205402625654
