date,ITA_external_fx_f1__ITA_external_fx_f2
2014-10-29,-0.7024633470864202
2014-10-30,-0.7026734812759908
2014-10-31,-0.7028634416251138
2014-11-03,-0.7030197277771868
2014-11-04,-0.7031662292664215
2014-11-05,-0.7032990654587069
2014-11-06,-0.7034194801993426
2014-11-07,-0.7035286098900506
2014-11-10,-0.7036274916597671
2014-11-11,-0.703717071139492
2014-11-12,-0.7037982098082435
2014-11-13,-0.7038716918933938
2014-11-14,-0.7039382308209183
2014-11-17,-0.7039984752201507
2014-11-18,-0.7040530144942868
2014-11-19,-0.7041023839725451
2014-11-20,-0.704147069663075
2014-11-21,-0.7041875126277061
2014-11-24,-0.7042241130007518
2014-11-25,-0.7042572336745004
2014-11-26,-0.7042872036739517
2014-11-27,-0.7043143212429072
2014-11-28,-0.7043388566627942
2014-12-01,-0.7043610548246955
2014-12-02,-0.7117930749295582
2014-12-03,-0.7111736826242926
2014-12-04,-0.710610740217444
2014-12-05,-0.7100993399109681
2014-12-08,-0.7096349580916934
2014-12-09,-0.7092134330414743
2014-12-10,-0.7088309424108747
2014-12-11,-0.708483980845618
2014-12-12,-0.7081693380665396
2014-12-15,-0.7078840776295362
2014-12-16,-0.7076255165302994
2014-12-17,-0.707391205767938
2014-12-18,-0.7071789119404289
2014-12-19,-0.7069865999118488
2014-12-22,-0.7068124165652594
2014-12-23,-0.7066546756348633
2014-12-24,-0.7065118435955942
2014-12-25,-0.7063825265768556
2014-12-26,-0.7062654582589003
2014-12-29,-0.7061594887047445
2014-12-30,-0.7060635740770217
2014-12-31,-0.705976767187328
2015-01-01,-0.6814711761323272
2015-01-02,-0.6828382346608838
2015-01-05,-0.6840750018113222
2015-01-06,-0.6851938581851871
2015-01-07,-0.6862060144353644
2015-01-08,-0.687121620713398
2015-01-09,-0.6879498660655177
2015-01-12,-0.6886990686672766
2015-01-13,-0.6893767577165949
2015-01-14,-0.6899897477352275
2015-01-15,-0.690544205964416
2015-01-16,-0.6910457134813177
2015-01-19,-0.6914993206083804
2015-01-20,-0.6919095971377771
2015-01-21,-0.6922806778470145
2015-01-22,-0.6926163037396362
2015-01-23,-0.692919859406213
2015-01-26,-0.6931944068653657
2015-01-27,-0.6934427162120973
2015-01-28,-0.69366729337104
2015-01-29,-0.6938704052251092
2015-01-30,-0.6940541023652943
2015-02-02,-0.6942202396847628
2015-02-03,0.041366100839136284
2015-02-04,0.06950449217665636
2015-02-05,0.09732869594749483
2015-02-06,0.12484514797589144
2015-02-09,0.15205494264627514
2015-02-10,0.1789537337192612
2015-02-11,0.20553172633885305
2015-02-12,0.23177377271849692
2015-02-13,0.2576595823127003
2015-02-16,0.2831640544823088
2015-02-17,0.3082577377253503
2015-02-18,0.33290741455673173
2015-02-19,0.35707680528538416
2015-02-20,0.3807273775885707
2015-02-23,0.4038192423645216
2015-02-24,0.4263121103814189
2015-02-25,0.44816627928817104
2015-02-26,0.46934361713188794
2015-02-27,0.48980850705768836
2015-03-02,0.5095287186032725
2015-03-03,0.5271325707216701
2015-03-04,0.5453236785458468
2015-03-05,0.5626987210768981
2015-03-06,0.5792469863972607
2015-03-09,0.5949629186793223
2015-03-10,0.6098462281179392
2015-03-11,0.6239018356486585
2015-03-12,0.6371396708309244
2015-03-13,0.6495743456366694
2015-03-16,0.6612247295792103
2015-03-17,0.672113452633408
2015-03-18,0.6822663618773498
