date,ESP_macro_f1__ESP_macro_f2
2021-12-09,0.7647870395578628
2021-12-10,0.7650297004201583
2021-12-13,0.7652529544882428
2021-12-14,0.7654583532554295
2021-12-15,0.7656473242832629
2021-12-16,0.7658211810812608
2021-12-17,0.765981132202979
2021-12-20,0.7661282896197565
2021-12-21,0.7662636764288595
2021-12-22,0.7663882339484271
2021-12-23,0.7665028282476078
2021-12-24,0.7666082561565262
2021-12-27,0.7667052507972723
2021-12-28,0.76679448667388
2021-12-29,0.7668765843563072
2021-12-30,0.7669521147906682
2021-12-31,0.767021603265441
2022-01-03,0.7341657082787582
2022-01-04,0.6688253965428983
2022-01-05,0.607984722065855
2022-01-06,0.5513489545690862
2022-01-07,0.4986693418804628
2022-01-10,0.4497064564196665
2022-01-11,0.4042303764072629
2022-01-12,0.36202099605915905
2022-01-13,0.32286822037129675
2022-01-14,0.286572054563421
2022-01-17,0.2529426002947967
2022-01-18,0.22179997069595353
2022-01-19,0.19297413589629547
2022-01-20,0.16630471014728693
2022-01-21,0.14164069090574802
2022-01-24,0.1188401594045321
2022-01-25,0.0977699513432629
2022-01-26,0.07830530541648927
2022-01-27,0.060329496489570075
2022-01-28,0.04373345935590468
2022-01-31,0.028415408178810803
2022-02-01,0.0045311644565496825
2022-02-02,-0.010613421558956438
2022-02-03,-0.024531214177514117
2022-02-04,-0.03732272150087941
2022-02-07,-0.04908004877146535
2022-02-08,-0.059887619279888206
2022-02-09,-0.06982283837102303
2022-02-10,-0.07895669649030904
2022-02-11,-0.08735431735929648
2022-02-14,-0.09507545674102263
2022-02-15,-0.10217495664272254
2022-02-16,-0.10870315926877902
2022-02-17,-0.11470628456967413
2022-02-18,-0.12022677482334172
2022-02-21,-0.12530360932559978
2022-02-22,-0.12997259194940247
2022-02-23,-0.1342666140527013
2022-02-24,-0.13821589496682002
2022-02-25,-0.14184820207724935
2022-02-28,-0.145189052313081
2022-03-01,-0.17978698707879867
2022-03-02,-0.183962541674774
2022-03-03,-0.1878002261914304
2022-03-04,-0.19132948751155068
2022-03-07,-0.194575230317509
2022-03-08,-0.19756031808502209
2022-03-09,-0.2003057569364458
2022-03-10,-0.20283084871628865
2022-03-11,-0.2051533310271476
2022-03-14,-0.20728950548601255
2022-03-15,-0.20925435523451233
2022-03-16,-0.21106165263889026
2022-03-17,-0.21272405802859523
2022-03-18,-0.21425321024436433
2022-03-21,-0.21565980969650783
2022-03-22,-0.21695369457091004
2022-03-23,-0.2181439107632462
2022-03-24,-0.2192387760704178
2022-03-25,-0.22024593912162704
2022-03-28,-0.2211724334893267
2022-03-29,-0.22202472738203843
2022-03-30,-0.22280876928632012
2022-03-31,-0.22353002989363135
2022-04-01,-0.11034238291481097
2022-04-04,-0.041794516577281345
2022-04-05,0.021512877479806757
2022-04-06,0.0799570259672795
2022-04-07,0.13389735880998566
2022-04-08,0.18366886043486658
2022-04-11,0.22958338100281894
2022-04-12,0.2719309714989181
2022-04-13,0.31098118162257904
2022-04-14,0.3469843144944998
2022-04-15,0.3801726339339355
2022-04-18,0.4107615212601051
2022-04-19,0.43895057960457284
2022-04-20,0.46492468460187497
2022-04-21,0.488854981066833
2022-04-22,0.5108998258826616
2022-04-25,0.5312056778278494
2022-04-26,0.549907935475084
2022-04-27,0.5671317246147053
2022-04-28,0.5829926368999596
2022-04-29,0.5975974215922626
2022-05-02,0.6110446324114611
2022-05-03,0.5881673359913253
2022-05-04,0.543116493401978
2022-05-05,0.500810936693911
2022-05-06,0.4611158820102661
2022-05-09,0.4239117277471169
2022-05-10,0.38907982725680246
2022-05-11,0.3565028852287792
2022-05-12,0.3260654292432199
2022-05-13,0.2976542460894934
2022-05-16,0.27115877582941644
2022-05-17,0.2464714592630338
2022-05-18,0.22348803628024128
2022-05-19,0.20210779420560132
2022-05-20,0.18223376663916352
2022-05-23,0.16377288444861163
2022-05-24,0.14663608147775115
2022-05-25,0.13073835821466417
2022-05-26,0.11599880712934557
2022-05-27,0.10234060367001294
2022-05-30,0.08969096702695062
2022-05-31,0.07798109476075037
2022-06-01,-0.06730525619251046
2022-06-02,-0.07930246261140075
2022-06-03,-0.0905760198453623
2022-06-06,-0.10115849380519412
2022-06-07,-0.11108055530840807
2022-06-08,-0.12037285327602394
2022-06-09,-0.1290658649967617
2022-06-10,-0.13718974187729882
2022-06-13,-0.1447741675937661
2022-06-14,-0.15184823044212203
2022-06-15,-0.15844031096050218
2022-06-16,-0.16457798533994317
2022-06-17,-0.17028794465909874
2022-06-20,-0.17559592957806242
2022-06-21,-0.18052667980643156
2022-06-22,-0.18510389741775168
2022-06-23,-0.18935022291020845
2022-06-24,-0.19328722280388472
2022-06-27,-0.1969353875091456
2022-06-28,-0.20031413818957677
2022-06-29,-0.20344184136748494
2022-06-30,-0.2063358300719808
2022-07-01,-0.27267222558811705
2022-07-04,-0.2706778972270615
2022-07-05,-0.268828244078679
