date,DEU_financial_markets_f1,DEU_financial_markets_f2
2007-05-30,-0.9394018376582388,-0.9999401472172056
2007-05-31,-0.3779058342713066,-1.4952863670487306
2007-06-01,-0.7406544610721871,-0.9999794205756003
2007-06-04,-0.7406544610721875,-0.9999727842204269
2007-06-05,-0.7406544610721875,-0.9999727840610756
2007-06-06,-0.7406544610721875,-0.9999727840610717
2007-06-07,-0.7406544610721875,-0.9999727840610717
2007-06-08,-0.7406544610721875,-0.9999727840610717
2007-06-11,-0.7406544610721875,-0.9999727840610717
2007-06-12,-0.7406544610721875,-0.9999727840610717
2007-06-13,-0.7406544610721875,-0.9999727840610717
2007-06-14,-0.7406544610721875,-0.9999727840610717
2007-06-15,-0.7406544610721875,-0.9999727840610717
2007-06-18,-0.7406544610721875,-0.9999727840610717
2007-06-19,-0.7406544610721875,-0.9999727840610717
2007-06-20,-0.7406544610721875,-0.9999727840610717
2007-06-21,-0.7406544610721875,-0.9999727840610717
2007-06-22,-0.7406544610721875,-0.9999727840610717
2007-06-25,-0.7406544610721875,-0.9999727840610717
2007-06-26,-0.7406544610721875,-0.9999727840610717
2007-06-27,-0.7406544610721875,-0.9999727840610717
2007-06-28,-0.7406544610721875,-0.9999727840610717
2007-06-29,-0.7406544610721875,-0.9999727840610717
2007-07-02,-2.6698800536421814,-0.6661682457086981
2007-07-03,-0.9697639048241107,-0.9999246523585816
2007-07-04,-0.9697639048241105,-0.9999396954967443
2007-07-05,-0.9697639048241105,-0.9999396958579702
2007-07-06,-0.9697639048241105,-0.9999396958579788
2007-07-09,-0.9697639048241105,-0.9999396958579788
2007-07-10,-0.9697639048241105,-0.9999396958579788
2007-07-11,-0.9697639048241105,-0.9999396958579788
2007-07-12,-0.9697639048241105,-0.9999396958579788
2007-07-13,-0.9697639048241105,-0.9999396958579788
2007-07-16,-0.9697639048241105,-0.9999396958579788
2007-07-17,-0.9697639048241105,-0.9999396958579788
2007-07-18,-0.9697639048241105,-0.9999396958579788
2007-07-19,-0.9697639048241105,-0.9999396958579788
2007-07-20,-0.9697639048241105,-0.9999396958579788
2007-07-23,-0.9697639048241105,-0.9999396958579788
2007-07-24,-0.9697639048241105,-0.9999396958579788
2007-07-25,-0.9697639048241105,-0.9999396958579788
2007-07-26,-0.9697639048241105,-0.9999396958579788
2007-07-27,-0.9697639048241105,-0.9999396958579788
2007-07-30,-0.9697639048241105,-0.9999396958579788
